names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group
MB,4.2834897,0.36170107,1.839845858092675e-05,0.0019460290129568619,0.9791666666666666
BZW1,4.282547,0.39567792,1.847660286155499e-05,0.0019460290129568619,0.9409722222222222
CD55,4.2790904,0.35167146,1.876584557693695e-05,0.001956833942910169,0.9722222222222222
SMAD1,4.2790904,1.0156484,1.876584557693695e-05,0.001956833942910169,0.5486111111111112
JUND,4.268721,0.2577266,1.96596761270616e-05,0.0020442153577459707,0.9895833333333334
RAB7A,4.2464113,0.263476,2.1722160965145763e-05,0.0022459119025008477,0.9861111111111112
CYFIP1,4.2002206,0.40823734,2.666550312339107e-05,0.00271861860673882,0.8541666666666666
ATP6AP2,4.196764,0.30824593,2.7075562378941922e-05,0.0027527573850879257,0.96875
FARP1,4.1851377,0.47306907,2.849930340515914e-05,0.002865667593220411,0.8229166666666666
NUCKS1,4.181053,0.21331114,2.9016221443394778e-05,0.0029096512905471025,1.0
SERINC2,4.1775966,0.37630773,2.9460562745473395e-05,0.0029461367678881743,0.9375
APLP1,4.172569,1.0847712,3.0118437961967577e-05,0.002987438883051424,0.4826388888888889
MT1G,4.1587434,0.7264381,3.200034686642563e-05,0.0031569937888356993,0.65625
MYL12B,4.153087,0.2171889,3.2801975424564694e-05,0.003210120594958536,0.9895833333333334
ATP6V1G1,4.1483736,0.2569079,3.348453566599809e-05,0.0032594880050829684,0.96875
SIPA1L3,4.147745,0.59515023,3.357655655617101e-05,0.0032597759854440717,0.7534722222222222
EXOC2,4.1244926,0.50809294,3.715525565421491e-05,0.0035414570630206248,0.7916666666666666
MARCKSL1,4.1109815,0.32890737,3.9398121218876426e-05,0.003716522254464165,0.9930555555555556
PSMB4,4.1072106,0.20641328,4.0046612633726446e-05,0.0037634376131629637,0.9930555555555556
CDIPT,4.1068964,0.39825603,4.0101108415987425e-05,0.0037634376131629637,0.8958333333333334
HIST1H2AC,4.1015544,0.30026665,4.1038373555047425e-05,0.003841548620174657,0.9861111111111112
TMEM106C,4.0914993,0.33944386,4.285930425086681e-05,0.003981455316969483,0.9513888888888888
CERS4,4.067304,0.30803323,4.756013530097907e-05,0.004384756957559534,0.9340277777777778
KIAA1522,4.0629053,0.45260087,4.846573661342563e-05,0.004445850691197973,0.84375
NUPR1,4.055992,0.1756899,4.992192686379443e-05,0.0045452548386610446,1.0
ARF1,4.05285,0.18787849,5.0597454170275834e-05,0.0045953285858219995,1.0
ARL8A,4.0490794,0.4301612,5.1419524428522035e-05,0.004658430726753304,0.8541666666666666
CXXC5,4.0478225,0.27226275,5.169634943294508e-05,0.0046719458903585745,0.9479166666666666
AFF3,4.0465655,0.49666923,5.197458642240762e-05,0.004685521767602318,0.8194444444444444
RBM20,4.0327396,0.70716,5.5130339335504e-05,0.004957802334198481,0.6215277777777778
TMEM59,4.0160856,0.26168185,5.9172706457116e-05,0.005256748128730347,0.9722222222222222
CERS2,4.0110583,0.30513802,6.0447183901447455e-05,0.005356967016893168,0.9826388888888888
SIX1,4.0028887,0.5135605,6.257380110729529e-05,0.005532037909005108,0.7916666666666666
EIF4A2,4.001946,0.26843712,6.282368805347816e-05,0.00554074652155507,0.9895833333333334
RABIF,3.9856062,0.60188884,6.730806064286863e-05,0.005893641932032619,0.6979166666666666
ARHGAP32,3.9805787,0.6070599,6.874771597638067e-05,0.005992627645213432,0.6944444444444444
PLPP2,3.9764938,0.52790046,6.99388389648674e-05,0.006065951291358085,0.7534722222222222
GDI1,3.9620395,0.34072575,7.43122494116538e-05,0.006414864718669671,0.9305555555555556
PPP4C,3.9592113,0.3346545,7.519763184342329e-05,0.006476020054355614,0.9444444444444444
DHCR24,3.9563835,0.31526518,7.609298332046642e-05,0.006507194585309326,0.9444444444444444
CPD,3.950099,0.37498382,7.811887559489313e-05,0.006649369687555078,0.8888888888888888
YWHAZ,3.9425576,0.21931908,8.061726616885862e-05,0.006846108025629685,1.0
DEGS2,3.9403582,0.28456172,8.136007247245694e-05,0.0068931944735286955,0.96875
SERPINB6,3.9384727,0.25113353,8.2001907948088e-05,0.006931528482235494,0.9756944444444444
YIPF3,3.9299886,0.31616718,8.494984778320578e-05,0.007147699721179574,0.9618055555555556
TMCO1,3.9268465,0.2784293,8.606687467988393e-05,0.007225077248069798,0.9930555555555556
WBP2,3.9171057,0.32184488,8.961850974268564e-05,0.007471815660801907,0.9097222222222222
VAT1,3.910507,0.32092768,9.210263558008637e-05,0.007661474011060776,0.9166666666666666
ATP5PD,3.8800273,0.23963721,0.00010444476752472442,0.008588284246696668,0.9479166666666666
DCAKD,3.878456,0.82098925,0.00010512148144914367,0.008588284246696668,0.5625
CTSF,3.8734286,0.5043547,0.00010731487734502383,0.008728515168233815,0.7743055555555556
PPDPF,3.868401,0.18815444,0.00010955140581352271,0.008870997796860054,1.0
LGALS8,3.8633735,0.3681454,0.00011183185740336046,0.009035668460972177,0.8923611111111112
PEBP1,3.8498619,0.24636677,0.00011818448119376132,0.00950696746411617,0.9861111111111112
CUTA,3.8435774,0.18627515,0.0001212537555939984,0.009689975346060994,1.0
PLPBP,3.8435774,0.33710372,0.0001212537555939984,0.009689975346060994,0.9375
UBA1,3.8398068,0.25199628,0.00012313123102501705,0.009797230840753585,0.9826388888888888
NQO1,3.8272378,0.24631645,0.0001295893320130139,0.01019132088956394,1.0
NR2F6,3.8140404,0.24130991,0.0001367131145992945,0.010646461079678251,0.9583333333333334
APMAP,3.8096414,0.28846577,0.0001391685768129613,0.010814668959514218,0.90625
S100A13,3.806499,0.2141858,0.00014094784747445969,0.010906621914191752,1.0
CLU,3.7942443,0.27767378,0.00014809379432230936,0.011425786802066344,0.9826388888888888
ACADSB,3.7917306,0.2787413,0.00014960118515877898,0.011503262558816112,0.9861111111111112
SPINT2,3.789531,0.21625814,0.00015093199021832512,0.011547501839738608,1.0
PRSS8,3.7892168,0.20761217,0.00015112301251973427,0.011547501839738608,0.9965277777777778
POLR2L,3.7823038,0.17400554,0.0001553835293382767,0.011823685150333193,1.0
SRP9,3.781361,0.24541125,0.00015597319251500007,0.01184393116025211,0.9861111111111112
SPECC1L,3.77382,0.44473398,0.00016076689121882244,0.012157497903925868,0.7986111111111112
WASHC5,3.7606225,0.29896805,0.0001694910827896583,0.012738281563006743,0.9444444444444444
C11orf58,3.7574801,0.35754555,0.00017163293083040834,0.01286263255546628,0.9305555555555556
ASCL1,3.7439687,0.7908048,0.00018113628374368716,0.01347514049045263,0.5451388888888888
ATOX1,3.7376842,0.20917667,0.00018572304701205462,0.013788335179894952,0.9895833333333334
HK2,3.7367415,0.3587027,0.00018642040590623508,0.013812091652984028,0.8923611111111112
MLF2,3.7295144,0.2867287,0.00019184917440464127,0.014100143840129066,0.9791666666666666
ALDH9A1,3.728886,0.34061107,0.000192328197034822,0.014107022724792624,0.8923611111111112
FBXL7,3.7229156,0.6370827,0.00019693531157319934,0.014358624181057109,0.6215277777777778
DRAIC,3.7229156,0.5332764,0.00019693531157319934,0.014358624181057109,0.7048611111111112
SYT1,3.7131748,3.7002256,0.00020467545168814213,0.014834309321262751,0.21875
AFMID,3.7116036,0.68233234,0.00020595030923312038,0.014897208040002845,0.59375
TMEM9B,3.7015486,0.6039839,0.00021428768474408637,0.015378712841800599,0.6631944444444444
FCRLB,3.6927502,1.1119584,0.00022184186141571582,0.015766279552770126,0.4305555555555556
HMGN1,3.6820667,0.24605212,0.00023135089124127098,0.016410220872716586,0.9930555555555556
NOP10,3.6789243,0.22339675,0.00023421964728630287,0.016581573134092788,0.9618055555555556
SPATA20,3.6738968,0.32505196,0.0002388791851258762,0.01681387895152345,0.8993055555555556
CAPRIN1,3.6720116,0.28610492,0.00024064882675183267,0.016873539670390476,0.9270833333333334
GDF15,3.6720116,0.38054627,0.00024064882675183267,0.016873539670390476,0.8611111111111112
IRX5,3.6704404,0.37192243,0.00024213291578388215,0.016945137381655585,0.8611111111111112
SOX9,3.6553576,0.64828366,0.00025682363508192817,0.017836815688109398,0.6111111111111112
TMED2,3.6547294,0.22708799,0.0002574535238533889,0.017846697777571755,0.9826388888888888
SEMA3F,3.6493874,0.2114122,0.00026286636914945867,0.018153154674036484,0.9722222222222222
IRX3,3.6468737,0.40635276,0.0002654503429807402,0.018297077219280738,0.8229166666666666
QSOX1,3.640275,0.39047065,0.0002723470202962427,0.018700433338217855,0.8368055555555556
G6PC3,3.6393323,0.27138874,0.000273345860384868,0.018700433338217855,0.9861111111111112
DCXR,3.6380754,0.16718636,0.000274682988641335,0.018756850871756534,1.0
SLC25A1,3.6317909,0.2564456,0.0002814610742002769,0.01911272129277242,0.9583333333333334
CACNG4,3.6035109,1.2456807,0.0003139475965755669,0.02112278673209986,0.3854166666666667
AL391001.1,3.6003687,0.5082228,0.00031776632300370433,0.0213404865839607,0.7048611111111112
LINC02224,3.5969121,0.8464716,0.00032201712115342384,0.02158635284127558,0.5208333333333334
RHOB,3.5947127,0.24186392,0.00032474982375493676,0.021729740949276856,0.9930555555555556
TCIM,3.5921988,0.47467446,0.0003278994839947269,0.02186056286646812,0.7986111111111112
PSME3,3.590942,0.37073523,0.00032948501307620794,0.02192632902473143,0.8680555555555556
NFS1,3.5884283,0.6067752,0.0003326776181897512,0.02201868626286272,0.59375
EPHX1,3.584029,0.35558686,0.0003383344334864839,0.022352668953138623,0.8333333333333334
GALNT1,3.5802584,0.3899667,0.0003432546319878227,0.022596156088824277,0.8298611111111112
MSMO1,3.5724027,0.6111857,0.00035372079957036404,0.023201675600492643,0.625
IL1R1,3.5708318,0.26299113,0.00035584953110909647,0.023299550425982182,0.9652777777777778
COASY,3.5645473,0.28542084,0.00036448484082480327,0.02382233867683683,0.96875
ATP6V0C,3.5629761,0.19321223,0.00036667407663685495,0.02392270566664087,0.9965277777777778
NCKAP1,3.5566916,0.3366798,0.0003755545502914901,0.024400913838631997,0.84375
MIEN1,3.5554347,0.2730726,0.0003773546002476154,0.024445231369314993,0.9722222222222222
TM9SF1,3.5548062,0.42297167,0.0003782576464241753,0.024460438368853782,0.7916666666666666
ATXN7L3B,3.552921,0.3674823,0.00038097891958349775,0.024549664499428876,0.90625
TFAP2A,3.5422373,0.34784302,0.0003967482769449022,0.025387034413392247,0.9340277777777778
AC068888.1,3.5394094,0.3804608,0.0004010234533073168,0.02561581049651152,0.8715277777777778
CLUL1,3.5255835,1.9217418,0.00042255087280181644,0.026850320304547367,0.2673611111111111
ANXA9,3.516157,0.3564041,0.0004378422348065967,0.027615217312501807,0.8541666666666666
NARS,3.5158427,0.36589506,0.00043836073491335077,0.027615217312501807,0.8888888888888888
DCAF10,3.504845,0.31062657,0.00045687350162848826,0.028438821484871254,0.9618055555555556
CREB3L4,3.501074,0.20850194,0.00046338690923503664,0.028746481804934877,0.9791666666666666
SLC50A1,3.4900763,0.2926535,0.0004828826004474889,0.029804360976355047,0.9652777777777778
COPG1,3.4778216,0.34651816,0.0005055061885492267,0.030991678403836258,0.8819444444444444
ZMYM2,3.4702802,0.46639606,0.0005199155348657524,0.0317686619225733,0.6875
ZNF24,3.465881,0.34990966,0.0005284968424566687,0.03213208128032646,0.9131944444444444
TMEM176A,3.4639957,0.3047555,0.0005322147973393924,0.03225098310830977,0.9444444444444444
ITPR2,3.4599109,0.7264658,0.0005403541320928581,0.032690085270629256,0.5520833333333334
COPRS,3.451427,0.34938866,0.0005576308171198241,0.03362412773871941,0.8888888888888888
FKBP10,3.4344587,0.3540995,0.0005937382401407492,0.03566659283691403,0.8645833333333334
DSTN,3.4297454,0.17250355,0.0006041476432396686,0.03617324718530791,0.9965277777777778
MTCH1,3.4244037,0.23273726,0.0006161501794452751,0.03666945157378295,0.9861111111111112
PCGF2,3.4168622,0.40291873,0.0006334730227816566,0.03751738852238093,0.78125
ADAR,3.4162338,0.19302589,0.0006349368564967864,0.03754333422397234,0.9965277777777778
C18orf32,3.4137201,0.26874828,0.0006408237143116053,0.03783030446374043,0.9375
RAB5C,3.4074357,0.18946497,0.0006557636971143303,0.03852585405791589,0.9826388888888888
APH1A,3.3998942,0.25778452,0.0006741190876226901,0.03954075757384307,0.9618055555555556
NDUFA7,3.391096,0.34431595,0.0006961370093204437,0.04070177424622613,0.8645833333333334
RAB21,3.3879538,0.28224057,0.0007041612077425327,0.04110527011895445,0.8958333333333334
RGL2,3.3750706,0.23868673,0.0007379673905313507,0.04285451911297453,0.9409722222222222
AC090994.1,3.3747563,3.853085,0.0007388104576456089,0.04285451911297453,0.19444444444444445
SPINT1-AS1,3.3734996,0.587969,0.0007421916796117512,0.04291462506393318,0.6041666666666666
CYB5A,3.3697288,0.35571462,0.0007524217718127728,0.04336911696081779,0.8888888888888888
DDB1,3.3684719,0.32201406,0.0007558607974876795,0.04339342265529694,0.9409722222222222
PSMD11,3.3678436,0.35450122,0.000757585778441429,0.04339342265529694,0.8368055555555556
HEXIM1,3.3621876,0.31350115,0.0007732759228493673,0.04413535470930333,0.9166666666666666
PGK1,3.3562174,0.16163181,0.0007901646416880077,0.04490809945717822,0.9930555555555556
BAHD1,3.3508754,0.6964169,0.0008055651552450186,0.04564162576954014,0.4930555555555556
DYNC1LI2,3.3496187,0.35699004,0.000809229059888114,0.04577835057336145,0.8472222222222222
TBL1XR1,3.3395634,0.2590435,0.000839101796884303,0.047395007511978976,0.9652777777777778
AAGAB,3.3354785,0.4428332,0.0008515272269595456,0.048022724243368765,0.7118055555555556
FBXO32,3.3342216,0.49958894,0.0008553846309364251,0.04814642341313174,0.6736111111111112
CPNE3,3.3339074,0.26928833,0.0008563515106677074,0.04814642341313174,0.9722222222222222
DUT,3.321967,0.29064304,0.0008938527888494244,0.04972022177002702,0.9097222222222222
TMBIM4,3.3194532,0.26545033,0.0009019393091377772,0.050018000990533,0.9583333333333334
REPIN1,3.3131688,0.2738698,0.0009224531863946353,0.050847453426551274,0.9201388888888888
TP53I11,3.312226,0.3990726,0.0009255672942485481,0.05094238877712949,0.7673611111111112
LRRC26,3.3084555,0.2995561,0.0009381213875066707,0.051555827183380865,0.9201388888888888
SLC44A4,3.305313,0.30423835,0.0009487034406649225,0.05198127938888746,0.9270833333333334
PIP4K2C,3.3040562,0.36992893,0.0009529671374729587,0.05213684633579635,0.8055555555555556
PNPO,3.3002856,0.29275614,0.0009658649559894534,0.05276361679726863,0.8784722222222222
WFDC2,3.2977717,0.3009234,0.0009745531149932302,0.05315889502513743,0.9618055555555556
